name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Muhammed Lawal,600,0,160,0,0,179,50,989
Tim Elliott,0,180,560,0,0,222,25,987
Khalil Rountree Jr.,700,0,80,0,70,108,25,983
Sam Alvey,500,90,160,0,140,91,0,981
Jake Ellenberger,500,90,160,0,70,111,50,981
Kai Kara-France,300,0,320,0,70,239,50,979
Matt Hamill,500,0,240,75,0,163,0,978
James Vick,200,270,320,0,0,162,25,977
Cung Le,600,0,80,0,0,220,75,975
Gray Maynard,100,0,560,0,210,53,50,973
Elias Theodorou,200,0,400,0,70,301,0,971
Mitsuhiro Ishida,0,180,560,0,70,136,25,971
Carla Esparza,100,90,320,75,210,76,100,971
Johnny Walker,500,90,160,0,0,140,75,965
Alan Jouban,400,0,320,0,0,243,0,963
Zak Cummings,200,360,320,0,0,82,0,962
Caio Borralho,200,90,480,0,0,166,25,961
Cole Miller,100,630,160,0,0,71,0,961
Phil Davis,0,180,480,0,0,273,25,958
Brian Ortega,300,360,80,0,0,67,150,957
Frank Shamrock,300,450,0,0,0,106,100,956
Paul Craig,300,540,0,0,0,91,25,956
Louis Smolka,400,180,160,0,0,214,0,954
Dricus Du Plessis,400,180,80,0,70,174,50,954
Ian Machado Garry,300,0,320,0,70,238,25,953
Anthony Njokuani,500,0,160,0,0,292,0,952
Tai Tuivasa,700,0,80,0,0,94,75,949
Aleksei Oleinik,100,630,0,0,70,72,75,947
Alonzo Menifield,500,180,160,0,0,106,0,946
Alex Perez,300,270,160,0,0,138,75,943
Billy Quarantillo,400,90,160,0,0,293,0,943
Paul Felder,400,90,160,0,140,101,50,941
Mackenzie Dern,0,360,240,0,140,125,75,940
Thiago Tavares,100,450,320,0,0,66,0,936
Carlos Ulberg,500,90,160,0,0,183,0,933
Julianna Pena,200,180,240,0,70,142,100,932
Ben Saunders,300,270,160,0,70,132,0,932
Nathaniel Wood,0,270,400,0,0,261,0,931
Michelle Waterson-Gomez,0,360,160,0,140,145,125,930
Volkan Oezdemir,400,90,80,0,140,169,50,929
Serghei Spivac,300,270,80,75,0,128,75,928
Mario Bautista,100,270,320,0,70,168,0,928
Michel Prazeres,0,270,320,0,210,125,0,925
Charles Jourdain,200,270,160,0,0,295,0,925
Mike Brown,200,180,320,0,0,120,100,920
Drakkar Klose,200,0,480,0,70,168,0,918
Rafael Cavalcante,800,0,0,0,0,68,50,918
Nassourdine Imavov,300,0,240,75,0,227,75,917
Ilia Topuria,500,90,160,0,0,92,75,917
Eddie Alvarez,400,90,80,0,140,131,75,916
Jorge Rivera,500,0,160,0,70,185,0,915
Norma Dumont,0,0,560,0,70,260,25,915
Jailton Almeida,200,450,80,0,0,130,50,910
Movsar Evloev,0,0,640,0,70,199,0,909
Amanda Lemos,300,180,160,0,70,98,100,908
KJ Noons,400,0,240,0,70,121,75,906
Jack Della Maddalena,400,90,80,0,140,195,0,905
Bruno Silva,700,90,0,0,0,115,0,905
Marcus Davis,300,360,80,0,70,95,0,905
Guy Mezger,400,90,240,0,0,175,0,905
Dustin Ortiz,400,0,80,0,210,211,0,901
Alexa Grasso,0,180,400,0,70,174,75,899
Chris Camozzi,100,90,320,0,140,248,0,898
Uriah Hall,600,0,80,0,70,71,75,896
Gian Villante,500,0,80,0,210,103,0,893
Julio Arce,400,90,160,0,0,240,0,890
Hiroyuki Takaya,500,0,160,0,70,135,25,890
Jamie Varner,400,90,0,0,140,155,100,885
Manvel Gamburyan,100,270,400,0,0,90,25,885
Omari Akhmedov,200,90,400,0,70,124,0,884
