name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Jeka Saragih,350,25,0,0,0,33,0
Pawan Maan,25,0,0,0,0,0,0
Timothy Johnson,125,0,185,0,95,38,0
Daniel Omielanczuk,200,25,75,150,25,78,0
Cory Hendricks,0,0,0,25,0,0,0
Lina Lansberg,50,25,395,25,0,61,25
Tonya Evinger,50,25,50,0,0,0,25
Andre Ewell,50,25,130,0,210,103,0
Steve Vigneault,25,25,0,0,0,0,0
Christina Marks,0,25,0,0,0,4,0
Scott Holtzman,150,90,395,0,25,207,0
Tatsuya Kawajiri,450,590,900,0,0,219,25
Luiz Firmino,0,180,210,0,25,41,0
Lyoto Machida,975,230,770,0,235,505,300
TJ Dillashaw,775,90,320,0,120,472,225
Renan Barao,275,450,420,0,25,191,150
Murilo Rua,500,180,235,0,50,213,50
Akira Shoji,325,320,260,0,165,46,0
Davi Ramos,0,270,155,0,0,36,0
Chris Gruetzemacher,125,75,160,0,0,124,0
Serhiy Sidey,100,0,80,0,95,17,0
Kyung Ho Kang,0,360,180,0,235,108,0
Pingyuan Liu,25,0,80,0,95,13,0
Katsunori Kikuno,275,115,160,0,25,55,0
Kuniyoshi Hironaka,175,0,130,0,0,43,0
Irina Alekseeva,0,115,50,0,0,9,0
Stephanie Egger,100,230,50,0,0,14,0
Randy Couture,750,385,345,75,0,454,350
Abdul Razak Alhassan,650,25,50,0,50,26,0
Sabah Homasi,75,0,0,0,0,12,0
Dustin Poirier,1175,460,555,75,0,437,375
Yancy Medeiros,275,295,155,0,70,55,25
Anthony Johnson,1125,125,160,0,0,193,100
Charlie Brenneman,100,75,320,0,0,58,0
Demian Maia,150,990,840,75,95,179,175
Alexander Yakovlev,100,140,180,0,0,17,0
Jussier Formiga,100,270,530,0,25,21,0
Kevin Burns,150,90,25,0,0,0,0
Charles Byrd,75,270,0,0,0,54,0
John Phillips,100,75,25,0,25,4,0
Martin Kampmann,300,450,185,0,165,148,50
Garreth McLellan,150,0,25,0,25,89,0
Dan Hooker,775,230,260,0,210,254,75
Baisangur Susurkaev,100,0,0,0,0,3,0
Murtaza Talha,50,0,0,0,0,0,0
Matt Brown,1375,305,235,0,50,362,50
Erick Silva,300,450,50,0,25,74,25
Jorge Masvidal,625,90,790,0,170,493,175
Bart Palaszewski,325,115,75,0,120,27,0
Karen Darabedyan,0,50,0,0,70,19,0
Jessica Eye,25,0,335,0,190,131,50
Kalindra Faria,0,50,0,0,25,21,0
Amanda Cooper,100,75,80,0,25,47,0
Roger Gracie,25,270,105,0,0,45,0
Ali Bagautinov,100,0,315,0,0,110,25
Geane Herrera,100,0,75,0,0,0,0
Nate Loughran,25,90,0,0,0,0,0
Johnny Rees,0,50,0,0,0,32,0
Branden Lee Hinkle,125,25,0,0,0,27,0
Sean Gannon,25,0,0,0,0,0,0
Robbie Lawler,1475,125,495,0,210,175,300
Adlan Amagov,325,0,80,0,0,62,0
Ed Herman,500,525,340,0,120,207,0
Cody Garbrandt,700,25,290,0,0,68,125
Brian Kelleher,250,395,290,0,0,64,0
Michael Bisping,1275,140,715,0,165,698,350
Dan Miller,25,540,230,0,0,21,25
Neil Seery,0,115,235,0,0,50,0
Chris Beal,100,25,105,0,25,38,0
Stephan Bonnar,225,180,420,25,0,97,0
Tom Lawlor,200,230,185,0,50,67,0
KJ Noons,425,25,365,0,95,121,75
Yves Edwards,650,345,395,25,145,288,25
Zubaira Tukhugov,200,0,160,0,145,66,0
Kevin Aguilar,25,0,210,0,95,18,0
Tito Ortiz,825,205,340,0,165,324,225
James Lee,25,90,0,0,0,3,0
Travis Wiuff,50,50,0,0,0,0,0
Manel Kape,500,0,210,0,25,142,50
David Dvorak,0,90,235,0,0,43,0
Anthony Hernandez,225,475,160,0,0,287,50
Roman Kopylov,500,50,75,0,70,75,0
Hideo Tokoro,175,230,370,0,95,86,0
Yoshiro Maeda,200,165,80,0,25,54,25
Antonio Arroyo,25,90,130,0,0,73,0
Diego Henrique da Silva,0,0,25,0,0,0,0
Pedro Rizzo,750,0,155,0,70,31,75
Gabriel Benitez,400,205,210,0,25,177,0
Charlie Ontiveros,50,25,0,0,0,0,0
Cal Worsham,150,0,0,0,0,10,0
Saimon Oliveira,50,25,25,0,70,0,0
Jose Alday,0,0,0,0,25,0,0
Yoel Romero,725,0,155,0,95,131,125
Mike Wilkinson,100,25,105,0,0,0,0
Brendan Loughnane,0,0,105,0,0,21,0
Jonathan Pearce,325,140,185,0,0,204,0
Jacob Rosales,25,0,25,0,0,0,0
Deron Winn,25,25,160,0,25,61,0
Eric Spicely,50,230,25,0,0,8,0
Shamil Gamzatov,25,0,0,0,70,35,0
Klidson Abreu,0,0,105,0,25,8,0
Chris Camozzi,100,190,420,0,190,248,0
Dongi Yang,200,0,50,0,25,63,0
Kyoji Horiguchi,200,115,400,0,0,208,25
Louis Gaudinot,25,90,50,0,0,0,0
Sam Hughes,100,90,180,75,140,104,0
Viktoriia Dudakova,125,0,160,0,25,28,0
Joseph Morales,25,270,0,0,25,20,0
Luis Henrique,50,180,50,0,0,42,0
Guido Cannetti,125,190,160,0,25,64,0
Hugo Viana,150,0,105,0,70,66,0
Jim Alers,25,0,0,0,95,0,0
Alan Omer,0,25,0,0,25,34,0
Dimitiri Wanderley,25,0,0,0,0,0,0
Carl Seumanutafa,25,0,0,0,0,0,0
Daniel Roberts,25,180,75,0,70,3,0
Mike Guymon,0,75,80,0,0,52,0
Volkan Oezdemir,550,115,155,0,165,180,50
Ikuhisa Minowa,475,1040,235,0,95,61,0
Errol Zimmerman,0,25,0,0,0,3,0
Chad Laprise,375,0,160,0,95,122,0
Russell Doane,100,165,50,0,70,39,0
Junior Tafa,225,50,25,0,0,53,0
Parker Porter,175,25,240,0,0,55,0
Jamahal Hill,575,0,185,0,0,350,125
Johnny Walker,700,90,210,0,0,170,100
Darrell Horcher,25,25,25,0,70,0,0
Devin Powell,100,0,50,0,25,11,0
Cynthia Calvillo,50,270,290,0,50,113,25
Luana Santos,100,180,185,0,0,57,0
Tainara Lisboa,25,115,80,0,0,19,0
Kamaru Usman,425,90,880,50,0,555,275
Emil Meek,0,0,155,0,0,33,0
Justin Levens,150,25,0,0,0,5,0
Bobby Voelker,125,0,75,0,0,11,0
Kazuhiro Nakamura,275,230,690,0,50,137,0
Jake O'Brien,150,50,160,0,70,25,0
Josh Shockman,0,0,25,0,0,0,0
Marcin Tybura,525,115,635,75,0,166,100
Andre Petroski,175,180,345,0,70,69,0
Dylan Budka,50,0,105,0,0,11,0
Brandon Royval,150,295,50,0,210,185,100
Ryo Chonan,50,115,340,0,165,115,0
Joey Villasenor,250,0,25,0,25,7,25
Don Frye,675,295,25,0,70,139,0
Elias Theodorou,200,0,475,0,70,301,0
Trevor Smith,100,115,395,0,95,142,0
Carlos Condit,525,435,365,0,120,383,250
Kyle Jensen,0,25,0,0,0,0,0
Sam Alvey,600,140,285,0,190,91,0
Jeremy Kennedy,25,0,240,0,0,46,0
Alex Ricci,25,0,25,0,0,1,0
Leon Edwards,325,115,690,75,95,195,200
Alexander Volkov,625,115,370,0,165,542,175
Arnold Allen,200,180,530,0,70,210,50
Mads Burnell,0,50,80,0,0,0,0
Nathaniel Wood,25,270,610,0,0,291,0
Charles Rosa,25,180,230,0,165,72,0
Joe Lauzon,625,655,180,25,95,84,0
Kyle Bradley,150,0,25,0,0,4,0
Antonio Carvalho,125,0,25,0,70,3,0
Rodrigo Damm,50,90,130,0,95,10,25
Nikita Krylov,475,550,185,0,25,244,0
Cody Donovan,175,0,0,0,0,24,0
BJ Penn,700,565,390,50,25,420,300
Quinton Jackson,1275,50,500,0,280,511,100
Marc Diakiese,200,75,475,0,95,115,0
Viacheslav Borshchev,300,50,100,0,70,93,0
Payton Talbott,200,90,265,0,0,259,0
Felipe Lima,0,90,105,0,0,31,0
Claudio Silva,0,270,155,0,70,43,0
Cole Williams,0,50,0,0,0,0,0
Chance Rencountre,25,90,105,0,0,4,0
Ismail Naurdiev,100,0,315,0,0,185,0
Dusko Todorovic,400,90,130,0,0,132,0
