player_name,value,playoff_value,total_value,passes_bought
Pedro Avila,294,54,348,20
Will Brennan,293,20,313,128
Austin Adams,292,0,292,9
David Hamilton,292,0,292,104
Lenyn Sosa,292,0,292,17
John King,291,0,291,7
Miguel Rojas,291,6,297,85
Clarke Schmidt,290,43,333,513
Bo Naylor,289,52,341,163
Lucas Sims,289,0,289,27
Manuel Rodríguez,289,0,289,2
Kyle Higashioka,288,112,400,77
Anthony Rizzo,285,65,350,1067
Cal Quantrill,285,0,285,53
Dylan Lee,285,17,302,37
Joey Bart,285,0,285,79
Jonah Bride,285,0,285,6
Jake Rogers,284,64,348,90
Yimi García,284,0,284,82
Matt Wallner,283,0,283,90
Tommy Kahnle,282,121,403,42
Roansy Contreras,281,0,281,6
Chris Stratton,280,0,280,12
Jakob Junis,280,0,280,22
Amed Rosario,279,0,279,149
José Buttó,278,73,351,107
Justin Anderson,277,0,277,
Colin Poche,276,0,276,6
Jacob Barnes,276,0,276,2
Anthony Banda,275,97,372,11
Johan Rojas,274,11,285,337
Jonathan Cannon,274,0,274,28
Ryan Weathers,274,0,274,42
Tim Mayza,274,19,293,28
Trevor Rogers,274,0,274,27
Jordan Hicks,273,0,273,376
Kevin Pillar,273,0,273,53
Yu Darvish,273,126,399,753
Mike Baumann,271,0,271,11
Adrian Morejon,270,16,286,10
Justin Lawrence,270,0,270,7
Tyler Freeman,270,0,270,106
Beau Brieske,269,118,387,12
DJ Herz,269,0,269,72
Cooper Criswell,266,0,266,23
Emmanuel Rivera,266,0,266,14
Sam Moll,266,0,266,13
Manuel Margot,265,0,265,53
Shelby Miller,265,0,265,34
Brent Suter,264,0,264,25
Jacob Stallings,263,0,263,15
Jesse Chavez,263,28,291,48
Zach McKinstry,263,51,314,34
Dominic Smith,262,0,262,53
James Paxton,262,0,262,131
Jose Iglesias,262,58,320,117
Kenta Maeda,262,0,262,58
Shawn Armstrong,262,0,262,11
Abraham Toro,260,0,260,64
Justin Slaten,260,0,260,43
Tyler Alexander,259,0,259,14
Brennan Bernardino,257,0,257,52
Hunter Stratton,257,0,257,10
Kevin Newman,257,0,257,31
Shane Baz,257,0,257,33
Zack Kelly,257,0,257,20
Grant Holmes,256,0,256,21
Iván Herrera,256,0,256,95
Tanner Rainey,256,0,256,3
Zach Pop,256,0,256,6
Carson Kelly,254,0,254,81
Gary Sánchez,254,11,265,74
Jason Heyward,254,0,254,173
Oswaldo Cabrera,254,13,267,835
Burch Smith,252,0,252,9
Randy Vásquez,252,0,252,11
Triston Casas,252,0,252,608
Cody Bradford,251,0,251,353
Edmundo Sosa,250,9,259,204
Luis Campusano,250,0,250,254
Edwin Uceta,249,0,249,6
Kyle Nicolas,248,0,248,9
Alex Faedo,247,0,247,27
Cole Irvin,247,0,247,84
Jonny DeLuca,247,0,247,52
Tylor Megill,246,13,259,57
Devin Williams,245,28,273,126
Joey Meneses,245,0,245,122
Kyle Freeland,244,0,244,28
Casey Mize,243,0,243,105
Jordan Montgomery,243,0,243,106
Jesus Tinoco,242,0,242,3
Michel Otañez,241,0,241,2
Romy Gonzalez,241,0,241,39
Chris Paddack,240,0,240,94
Garrett Mitchell,238,51,289,80
Whit Merrifield,238,0,238,149
Danny Coulombe,237,7,244,36
Ildemaro Vargas,237,0,237,22
Bo Bichette,236,0,236,2409
Richie Palacios,236,0,236,57
Trevor Williams,236,0,236,45
Adam Duvall,235,0,235,196
David Peralta,235,83,318,12
Matt Moore,235,0,235,4
Michael Soroka,235,0,235,26
Miguel Andujar,235,0,235,51
Danny Jansen,234,0,234,191
Eloy Jiménez,234,0,234,159
Ben Rortvedt,233,0,233,
Juan Yepez,233,0,233,25
Ke'Bryan Hayes,233,0,233,436
Patrick Sandoval,233,0,233,46
Ben Brown,231,0,231,196
Elvis Peguero,231,0,231,26
Emilio Pagán,231,0,231,20
Erik Swanson,231,0,231,21
Nick Fortes,231,0,231,13
Michael Siani,230,0,230,37
Victor Caratini,230,2,232,66
A.J. Minter,229,0,229,71
Osvaldo Bido,228,0,228,10
Collin Snider,227,0,227,6
Jake Diekman,227,0,227,15
Javier Báez,227,0,227,241
Jacob Latz,226,0,226,18
Eddie Rosario,225,0,225,
Landen Roupp,225,0,225,12
Yariel Rodríguez,225,0,225,64
Brendon Little,224,0,224,5
Rafael Montero,224,0,224,12
Drew Smyly,223,0,223,51
Hayden Wesneski,223,0,223,71
Landon Knack,223,41,264,29
Reid Detmers,223,0,223,431
Cam Booser,222,0,222,20
Sam Long,222,49,271,10
Gavin Williams,221,0,221,75
Josh Winckowski,221,0,221,45
Randy Rodríguez,221,0,221,17
Tayler Saucedo,220,0,220,14
Yohan Ramírez,220,0,220,12
Kevin Kiermaier,219,3,222,138
Stephen Kolek,219,0,219,2
Dedniel Núñez,218,0,218,
Stuart Fairchild,218,0,218,77
Ben Joyce,217,0,217,39
Eli Morgan,217,56,273,7
Michael Grove,217,0,217,20
Nick Gordon,217,0,217,63
Huascar Brazobán,216,0,216,7
Joe Ross,216,19,235,27
Adam Frazier,215,8,223,38
Danny Young,215,12,227,6
Scott Alexander,215,0,215,3
Carmen Mlodzinski,214,0,214,7
Christian Vázquez,214,0,214,33
José Ruiz,214,0,214,17
Nolan Jones,214,0,214,209
