name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Willian Colorado,11,1
Wes Combs,20,6
Carlos Condit,32,14
Chris Condo,0,1
Tristan Connelly,14,8
Marcos Conrado Jr.,5,1
Jeremiah Constant,11,8
Jonathan Contrestano,6,0
Bob Cook,5,0
Mike Cook,13,13
Chad Cook,10,12
TJ Cook,13,5
Dewey Cooper,2,1
Brett Cooper,23,12
Bill Cooper,2,1
Bobby Cooper,12,7
Amanda Cooper,3,5
Kit Cope,6,7
Chris Cope,8,4
Josh Copeland,12,4
Michael Cora,4,1
Akira Corassani,12,6
Muhsin Corbbrey,17,9
Daniel Cormier,22,3
Nora Cornolle,7,1
Clint Coronel,2,5
Henry Corrales,13,3
Bethe Correia,11,6
Wesley Correira,20,16
Waldo Cortes-Acosta,11,1
Tracy Cortez,11,1
Reyes Cortez Jr.,7,3
Chad Corvin,5,0
Louis Cosce,7,2
Orion Cosce,8,2
Miguel Cosio,1,13
Jadson Costa,22,8
Guilherme Costa,7,1
Paulo Costa,14,3
Randy Costa,6,4
Alessandro Costa,13,4
Melquizael Costa,20,7
Oscar Cota,11,3
Patrick Cote,23,11
JC Cottrell,17,5
JR Coughran,4,1
Rashad Coulter,9,4
Dave Courchaine,20,7
Randy Couture,19,11
Kim Couture,3,8
Ryan Couture,11,5
Nikk Covert,3,4
Colby Covington,17,4
Hailey Cowan,7,3
Jeff Cox,10,7
Nathan Coy,15,7
Andrew Craig,9,4
Paul Craig,17,7
Dan Cramer,11,4
Alberto Crane,15,5
Tim Credeur,12,4
Paul Creighton,3,1
Helena Crevar,0,0
Alexander Crispim,8,6
Alex Crispin,0,1
Kevin Croom,21,15
Kiefer Crosbie,10,4
Ken Cross,11,3
Jeff Crotty,1,1
Allen Crowder,10,4
Daron Cruickshank,18,10
Richard Crunkilton,19,4
Jimmy Crute,12,4
Marcio Cruz,8,3
Dominick Cruz,24,4
Aalon Cruz,8,4
Timmy Cuamba,8,2
Jay Cucciniello,8,1
Emilio Cuellar,6,1
Josh Culibao,11,2
Chris Culley,20,15
Abel Cullum,20,6
Zak Cummings,25,7
Everett Cummings,12,0
Patrick Cummins,10,7
Luke Cummo,6,6
Hugo Cunha,6,0
Alton Cunningham,4,2
AJ Cunningham,11,4
Santo Curatolo,6,2
Larry Cureton,0,2
Jeff Curran,36,18
Kailin Curran,4,5
Pat Curran,22,7
Chris Curtis,31,10
Ion Cutelaba,17,9
Gleidson Cutis,7,4
Sarah D'alelio,11,7
Marcos da Matta,11,3
Henrique da Silva,14,5
Alex Da Silva,21,4
Igor Da Silva,8,0
Henrique Da Silva Lopes,5,2
Daermisi Zhawupasi,7,1
Nicolas Dalby,23,4
Paul Daley,39,15
Dave Dalgliesh,30,19
Richard Dalton,4,3
Aisling Daly,16,6
Marko Damiani,0,2
Leonardo Damiani,10,3
Rodrigo Damm,13,9
Carina Damm,2,13
Batgerel Danaa,12,5
Cindy Dandois,8,3
Peter Danesoe,6,3
Jarjis Danho,7,1
Raymond Daniels,0,1
Marques Daniels,5,5
Alexandre Dantas,0,3
Eduardo Dantas,20,4
Mac Danzig,21,12
Karen Darabedyan,13,6
Beneil Dariush,22,6
Sean Daugherty,0,2
Kyle Daukaus,11,4
Chris Daukaus,12,7
